; Data as used in Davis et al. 2007 (astro-ph/0701510).
;
; This is the combined data from 
; Wood-Vasey et al. 2007 (astro-ph/0701041), Table 9 (passed)
; and  Riess et al. 2007 (astro-ph/0611572), Table 6 (Gold)
;
; When using this data please cite all three papers. 
;
; The data have been combined by normalizing to the 
; low-redshift supernovae they had in common.
; See http://www.dark-cosmology.dk/archive/SN for details. 
;
; Columns
; SN= supernova identifier
; z = redshift
; mu= distance modulus
; mu_err = error in distance modulus
;
;      SN         z       mu    mu_err
   04D2fs    0.3570    41.65      0.22
   04D2gb    0.4300    41.81      0.18
   04D2gc    0.5210    42.44      0.33
   04D2iu    0.6910    43.42      0.39
   04D2ja    0.7410    43.58      0.24
   04D3co    0.6200    43.20      0.26
   04D3cp    0.8300    43.62      0.17
   04D3cy    0.6430    43.34      0.22
   04D3dd    1.0100    44.70      0.17
   04D3df    0.4700    42.03      0.20
   04D3do    0.6100    42.82      0.29
   04D3ez    0.2630    40.76      0.21
   04D3fk    0.3578    41.41      0.21
   04D3fq    0.7300    43.57      0.26
   04D3gt    0.4510    41.35      0.23
   04D3gx    0.9100    44.21      0.18
   04D3hn    0.5516    42.28      0.41
   04D3is    0.7100    43.71      0.34
   04D3ki    0.9300    44.43      0.19
   04D3kr    0.3373    41.46      0.17
   04D3ks    0.7520    43.36      0.23
   04D3lu    0.8218    43.76      0.22
   04D3ml    0.9500    44.14      0.15
   04D3nc    0.8170    43.72      0.21
   04D3nh    0.3402    41.63      0.17
   04D4an    0.6130    43.08      0.39
   04D4bk    0.8400    43.88      0.17
   04D4bq    0.5500    42.75      0.29
 sn1977ff    1.7550    45.31      0.36
 sn2002dc    0.4750    42.20      0.21
 sn2002dd    0.9500    43.94      0.35
 sn2003eq    0.8400    43.63      0.22
 sn2003es    0.9540    44.26      0.28
 sn2003eb    0.9000    43.60      0.26
 sn2003XX    0.9350    43.93      0.30
 sn2003bd    0.6700    43.15      0.25
 sn2002kd    0.7350    43.10      0.20
 sn2003be    0.6400    42.97      0.26
 sn2003dy    1.3400    44.88      0.32
 sn2002ki    1.1400    44.67      0.30
 sn2002hp    1.3050    44.47      0.31
 sn2002fw    1.3000    45.02      0.21
 HST04Pat    0.9700    44.63      0.37
 HST04Mcg    1.3700    45.19      0.26
 HST05Fer    1.0200    43.95      0.28
 HST05Koe    1.2300    45.13      0.24
 HST04Gre    1.1400    44.40      0.32
 HST04Omb    0.9750    44.17      0.27
 HST05Lan    1.2300    44.93      0.21
 HST04Tha    0.9540    43.81      0.28
 HST04Rak    0.7400    43.34      0.23
 HST04Yow    0.4600    42.19      0.33
 HST04Man    0.8540    43.92      0.30
 HST05Spo    0.8390    43.41      0.21
 HST04Eag    1.0200    44.48      0.20
 HST05Gab    1.1200    44.63      0.19
 HST05Str    1.0100    44.73      0.20
 HST04Sas    1.3900    44.86      0.20
